movie_title,movie_info,critics_consensus,rating,genre,directors,writers,cast,in_theaters_date,on_streaming_date,runtime_in_minutes,studio_name,tomatometer_status,tomatometer_rating,tomatometer_count,audience_rating,audience_count
44 Inch Chest,"Colin is in agony, shattered by his wife's infidelity. However, he has friends who do more than stand by -- they kidnap the wife's French lover and hold him prisoner so that Colin can restore his manhood with revenge. A kangaroo court takes place and as the situation escalates Loverboy's life hangs in the balance as Colin wrestles with revenge, remorse, grief and self pity, all the while egged on by his motley crew of friends who just want him to get on with it so they can get down the pub.","An actor's movie with a strong cast, 44 Inch Chest can't quite redeem its static plotting and tonal shifts.",R,"Comedy, Drama, Mystery & Suspense",Malcolm Venville,"Louis Mellis, David Scinto","Ray Winstone, Ian McShane, Joanne Whalley, Tom Wilkinson, Stephen Dillane, Dave Legeno, Melvil Poupaud, John Hurt, Steven Berkoff, Edna Dore, Andy de la Tour, Derek Lea, Ramon Christian",2010-01-29,2010-04-20,94.0,Image Entertainment,Rotten,41,81,36.0,13569.0
Trafficked,"Inspired by real characters, three girls from America, Nigeria, and India are trafficked through an elaborate network and enslaved in a Texas brothel. Together, they attempt a daring escape to reclaim their freedom.",,R,"Drama, Mystery & Suspense",Will Wallace,"Siddharth Kara, Siddharth Kara","Ashley Judd, Anne Archer, Elisabeth Röhm, Sean Patrick Flanery, Patrick Duffy, Kelly Washington, Jessica Obilom, Alpa Banker",2017-10-06,2018-01-11,104.0,Epic Pictures,Rotten,17,6,67.0,104.0
Finian's Rainbow,"Finian's Rainbow is the first major film directed by Francis Ford Coppola. The musical comedy concerns the efforts of Irish immigrant Finian (Fred Astaire), who has stolen a pot of gold from a leprechaun. Along with his daughter Sharon (Petula Clark), the couple moves to the United States to the mythical town of Rainbow Valley. The two are soon pursued by Og the leprechaun (Tommy Steele) who seeks to take back the gold from Finian. Finian believes if he buries the gold in the ground, it will grow like an plant and multiply. Sharon befriends Woody (Don Francks), who is being driven off his farm by orders of a bigoted judge (Keenan Wynn). Comedy ensues when Og grants a series of wishes, one of them that turns the Judge into a black man. He experiences firsthand the indignities of racial prejudice in this song filled comedy. Choreographer Hermes Pan was hired at the assistance of Astaire, his longtime friend who had previously worked with Astaire. Pan was fired by Coppola, who referred to the dance scenes as ""abysmal."" Pan referred to Coppola as ""a real pain."" Studio executives were impressed with the fact Coppola completed the feature in seven weeks for under 4 million dollars. He would later hit his stride with The Godfather and would become one of the best directors in the last half of the 20th century.",,G,"Classics, Comedy, Kids & Family, Musical & Performing Arts",Francis Ford Coppola,"E.Y. Harburg, Fred Saidy, E.Y. ""Yip"" Harburg","Fred Astaire, Petula Clark, Tommy Steele, Don Francks, Keenan Wynn, Barbara Hancock, Al Freeman Jr., Ronald Colby, Dolph Sweet, Wright King, Louis Silas, Avon Long, Susan Hancock, Roy E. Glenn Sr., Jester Hairston",1968-10-09,2005-03-15,145.0,Warner Home Video,Rotten,57,14,53.0,3572.0
Balzac and the Little Chinese Seamstress,"Dai Sijie directs Balzac et La Petite Tailleuse Chinoise (The Little Chinese Seamstress), a film adaptation of his own best-selling autobiographical novel. Set in China during the Cultural Revolution of the 1970s, the story follows Luo (Chen Kun) and Ma (Liu Ye), two young men from the city who are sent to a mountain village for a re-education in Maoist principles. They work with the peasants under the supervision of the village head man (Wang Shuangbao), who considers their violin to be a symbol of the bourgeoisie. Luo and Ma both fall in love with the little Chinese seamstress (Ziiou Xun), the daughter of the tailor (Chung Zhijun), and they read her forbidden works of Western literature including French writers Balzac and Dumas. The conclusion finds the two men reminincing about their experiences 30 years later. Balzac et La Petite Tailleuse Chinoise premiered at the 2002 Cannes Film Festival.",This delicately told fable about the power of literature is a lyrical delight.,NR,"Art House & International, Comedy, Drama, Romance",Dai Sijie,"Dai Sijie, Nadine Perront","Kun Chen, Xun Zhou, Ye Liu, Shuangbao Wang, Zhijun Cong, Chung Zhijun, Hong Wei Wang, Wang Hong Wei, Xiao Xiung, Tang Zuohul, Chen Wei, Chen Tianlu, Fan Qing-Yun, Min Jie, Zhang Heng, Xu Yukum, Mei Ling Tan, Jing Fang, Peng Li, Zhao Hengfei, Liu Yao, Chen Yulin, Xu Chunhua, Zhao Fang Zong, Su Wa, Quiléne Boileux, Yang Dandan, Guy-Pierre Bennet, Xiao Ziong, Mi Jie, Mei Lina",2005-07-29,2005-12-27,111.0,Soda Pictures Ltd.,Certified Fresh,77,62,83.0,4650.0
Killing Season,"Deep in the Appalachian Mountains, a reclusive American military veteran (Robert De Niro) and a European tourist (John Travolta) strike up an unlikely friendship. But when the tourist's true intentions come to light, what follows is a tense battle across some of America's most forbidding landscape proving the old adage: the purest form of war is one-on-one. (c) Official Facebook",,R,Mystery & Suspense,Mark Steven Johnson,Evan Daugherty,"Robert De Niro, John Travolta, Milo Ventimiglia, Elizabeth Olin, Kalin Sarmenov, Diana Lyubenova, Stefan Shterev",2013-07-12,2013-08-20,90.0,Milennium Entertainment,Rotten,10,20,29.0,6812.0
Just My Luck,"Two people discover just how true the old adage ""lucky in life, unlucky in love"" can be in this romantic comedy. Ashley (Lindsay Lohan) has always been the sort of girl fortune smiles upon -- she's pretty, she has a great job, she had good friends, guys fall over themselves to ask her out, and she never has trouble getting a cab. Jake (Chris Pine), on the other hand, is not nearly so lucky -- he's clumsy and accident prone, things never seem to go his way, and he's just lost his job at a bowling alley. However, these two opposites meet one night at a ritzy masquerade ball, and Ashley and Jake exchange an impulsive kiss as two shooting stars cross in the sky. Suddenly, they both find their luck taking a one hundred and eighty degree turn; Jake is befriended by a wealthy musician and suddenly finds himself successful and flush with cash, while Ashley loses her job and her apartment after a major misunderstanding with the police. While Jake's luck with women has also taken a turn for the better, he's become deeply infatuated with Ashley, and tries to help her turn her life back around as he struggles to win her heart. Just My Luck also stars Samaire Armstrong, Faizon Love, and Tovah Feldshuh.","Just My Luck asks little of its leads and less of its audience, adding up to a middling teen rom-com that sorely lacks sparks.",PG-13,"Comedy, Drama, Romance",Donald Petrie,"I. Marlene King, Amy B Harris","Lindsay Lohan, Chris Pine, Faizon Love, Missi Pyle, Samaire Armstrong, McFly, Bree Turner, Carlos Ponce, Makenzie Vega, Tovah Feldshuh, Dan Jones, Jaqueline Fleming, Dane Rhodes, Mikki Val, Ira Hawkins, J.C. Sealy, Jacqueline Fleming, Marcus Hester, Ameer Baraka, Anne Ewen, Tobi Gadison Brown, Thomas Hyde III, Mark Cameron Wystrach, Strawn Bovee, Gerry Vichi, Dennis Wit, Thomas Tyde, Kenny Alfonso, Ray Garvey, Rome Kanda, Jon Manfrellotti, Jennifer Rose Koelfgen, Deanna Miller, Lawrence C. Gamell Jr., Tom Fletcher, Danny Jones, Harry Judd, Dougie Poynter, Erik Liberman, Al Roffe, Dean Cochran, Mary Firestone, Matthew Morgan, Dariush Vollenweider, Denis Gawley, Russ Klein, Loring Murtha, Kevin Scanlon, Dave Jensen, J.P. Patterson, Lara Shriftman, Kathy Tong, Frank Ferrara, Kasie Head, John Bernard Martin, Alexandra Apjarova, Christine Van Loo, Jennifer Arden, Tiffany J. Billiot, Aurielle Brimmer, Jarrod Cashe, Michelle N. Gibson, Kerry Lambert, Matthew Ragas, Luke Sexton, Jennifer Van Kanegon, Christopher Ware, Paul Dufrene IV, Michelle Lamb, Adrian M. Lindsey, Misty Marshall, Pete Anthony",2006-05-12,2006-08-22,103.0,20th Century Fox,Rotten,14,111,48.0,353718.0
My Bodyguard,"In this coming-of-age comedy-drama from director Tony Bill, a diminutive high schooler (Chris Makepeace) decides to defend himself against the constant victimization of bullies by hiring a shy, muscle-bound student (Adam Baldwin) for protection; gradually, the two outsiders find true friendship.","T. Bill debuts as an affectionate director, keenly aware of growing pains.",PG,"Comedy, Drama, Kids & Family",Tony Bill,"Alan Ormsby, Tim Kazurinsky","Chris Makepeace, Adam Baldwin, Matt Dillon, Ruth Gordon, Martin Mull, John Houseman, Paul Quandt, Hank Salas, Joan Cusack, Dean R. Miller, Tim Reyna, Richard Bradley, Dean Miller, Denise Baske, Vicky Nelson, Craig Richard Nelson, Kathryn Grody, Dick Cusack, Dorothy Scott, Angelo Buscaglia, Kitt York, Marge Kotusky, Jennifer Beals, Tom Reilly, Paul Charbonneau, Laura Salenger, Bert Hoddinott, Jonathan Turk, Marge Kotlisky, Cindy Russ, Allison Caine, Laurie McEathron, Lori Mandell, Dean Devlin, Tim Kazurinsky, Bill Koza, Vivian Smolen, Bruce Jarchow, Andrea Dillon, Leonard Mack, George Wendt, Jerome Myers, Freddy Moss, Joseph Judson Cohn, Patrick Billingsley, Barbara Hoddinott, Eddie Gomez",1980-07-11,2002-01-29,96.0,20th Century Fox Film Corporation,Fresh,83,29,69.0,6164.0
Overdrive,"From the writers of 2 Fast 2 Furious and the director of Taken, Overdrive is a high-octane, action-packed joyride. Legendary car thieves Andrew (Scott Eastwood) and Garrett (Freddie Thorp) are caught in the act of stealing from notorious crime boss Jacomo Morier. In order to win back their freedom they're put to the ultimate test - the theft of a priceless car from Morier's sworn enemy. While putting together a crew to pull off the daring heist they're joined by two beautiful women (Ana de Armas & Gaia Weiss) who are more dangerous than they look. The team has one week to put the plan in motion, steal the car, and make their escape or lose everything, including their lives.",,PG-13,"Action & Adventure, Drama, Mystery & Suspense",Antonio Negret,"Derek Haas, Michael Brandt","Scott Eastwood, Freddie Thorp, Ana de Armas, Gaia Weiss, Simon Abkarian, Clemans Schick, Abraham Belaga, Kaaris",2017-10-06,2017-11-07,93.0,Paramount Pictures,Rotten,23,13,27.0,395.0
United 93,"This is the story of the takeoff and hijacking of United Airlines Flight 93 by terrorists, the discovery by passengers with cell phones that other hijacked planes had been steered into the World Trade Center towers, and the realization that their plane was being steered toward Washington D.C.","Potent and sobering, United 93 treats the subject matter with respect, never resorting to Hollywood aggrandizement.",R,"Action & Adventure, Drama",Paul Greengrass,Paul Greengrass,"Olivia Thirlby, Cheyenne Jackson, Becky London, Chip Zien, Ben Sliney, Leigh Zimmerman, Denny Dillon, Chloe Sirene, Christian Clemenson, Major James Fox, Corey Johnson, Daniel Sauli, J.J. Johnson, Gary Commock, Polly Adams, Opal Alladin, Starla Benford, Trish Gates, Nancy McDoniel, Khalid Abdalla, Lewis Alsamari, Omar Berdouni, Jamie Harding, David Alan Basche, Richard Bekins, Susan Blommaert, Ray Charleson, Liza Colon-Zayas, Lorna Dallas, Trieste Kelly Dunn, Kate Jennings Grant, Peter Hermann, Tara Hugo, Marceline Hugot, Joe Jamrog, Masato Kamo, Peter Marinker, Jodie Lynne McClintock, Libby Morris, Tom O'Rourke, Simon Poland, David Rasche, Erich Redman, Michael J. Reynolds, John Rothman, Rebecca Schull, J. Miller Tobin, Rich Sullivan, Tony Smith, Patrick St. Esprit, Gregg Henry, James Fox, Shawna Fox, Jeremy Powell, Greg Callahan, Rick Tepper",2006-04-28,2006-09-05,111.0,Universal Pictures,Certified Fresh,90,210,83.0,129248.0
Enemy of the State,"The action producing-directing team of Jerry Bruckheimer and Tony Scott is back with another thrill-a-minute ride called Enemy of the State. Taking its ""innocent man accidentally caught up in political corruption"" story from such films as Francis Ford Coppola's The Conversation, Alfred Hitchcock's The Man Who Knew Too Much, and Sydney Pollack's Three Days of the Condor, they turn up the high-tech volume in an attempt to create the ultimate action film. Robert Clayton Dean, played by Will Smith, is a devoted father, husband, and attorney shopping for a sexy gift for his wife. What he doesn't know is that he was given a videotape from a friend (Jason Lee) regarding the recent murder of a U.S. senator led by corrupt National Security Agency official Thomas Reynolds (Jon Voight). Now Reynolds is after Dean to cover his tracks or, as the audience soon finds out, frame Dean for Rachel's murder. Since Dean isn't up on his high-tech gadgetry, he needs the aid of ex-intelligence operative Brill (Gene Hackman). Between the explosions and chases is the subtext of George Orwell's 1984 mantra ""beware of big brother,"" as Dean realizes that in the modern world, there is no such thing as total privacy. ~ Arthur Borman, Rovi","An entertaining, topical thriller that finds director Tony Scott on solid form and Will Smith confirming his action headliner status.",R,"Action & Adventure, Mystery & Suspense",Tony Scott,David Marconi,"Will Smith, Gene Hackman, Regina King, Jon Voight, Lisa Bonet, Loren Dean, Laura Cayouette, Barry Pepper, Ian Hart, Jake Busey, Jason Lee, Gabriel Byrne, Jason Robards, Tom Sizemore, James Le Gros, Stuart Wilson, Jascha Washington, Ivana Milicevic, Scott Caan, Dan Butler, Jack Black, Seth Green, Jamie Kennedy, Jacob Chambers, Alexandra Balahoutis, Anna Gunn, Rebecca Silva, Bobby Borriello, Carl Mergenthaler, Mattias Kraemer, Lillo Brancato Jr., John Capodice, Vic Manni, T.R. Richards, Ivana Milavich, Patsy Grady Abrams, Beatriz Mayoral, Kasey Lynn Quinn, Elizabeth Berman, Donna Wilson, Allison Sie, Mike Andolini, Arthur J. Nascarella, Grant Heslov, John Cenatiempo, Joyce Flick Wendl, Frank Medrano, Dennis S. Fahey, Albert Wong, Christopher B. Lawrence, John Haynes Walker, Joseph Patrick Kelly, Lennox Brown, Martin Bosworth, Nancy Yee, Troy Anthony Cephers, Carlos Gomez, Arnie Alpert, Greg Collins, Doug Roberts, Larry King, Warren Olney, Penny Griego, Eric Keung, David Han, Mandy Kriss, Noel Werking, Sam De Crispino, Wayne A. Larrivey, Rhonda Overby, Lille Shaw Hamer, Brenna McDonough, Callison Slater, Colin Brodie, Daniel Cano Carrillo, Joy Ehrlich, Eric Olson, Thomas F. Troy, Adam Karkowsky, Steve Uhrig, Robyn Killian, Laura Eizenia, Angelica Pamintuan, Vene Arcoraci, Charlie Curtis, Raichle Watt, Michael J. Walker, Jacklilynn Ward, Jason Welch, Joshua B. Ward, Pete Suton, Tom Quinn, Robert A. O'Rourke, John Allendorfer, Henry Sandler, Chris Holt",1998-11-20,1999-06-15,150.0,Buena Vista Pictures,Fresh,71,84,78.0,372945.0
The 9th Life of Louis Drax,"After surviving eight near-death accidents throughout his unlucky life, Louis Drax [Aiden Longworth] plunges off a steep cliff on his ninth birthday. While police investigate the cause of Louis' near-fatal fall and the whereabouts of his violent father Peter [Aaron Paul], acclaimed neurologist Dr. Allan Pascal [Jamie Dornan] uses unorthodox techniques to try to tap into the boy's unconscious mind and reveal the truth about the events that led to his condition. But as he's drawn deeper and deeper into the mystery of Louis' seeming ability to cheat death, the doctor finds himself falling for Louis' mother, Natalie [Sarah Gadon]. As new clues emerge in the case, a shocking revelation changes the fates of Louis Drax and everyone around him.","The 9th Life of Louis Drax is intriguing and visually compelling, but its disparate parts are never truly woven into a satisfying whole.",R,Mystery & Suspense,Alexandre Aja,Max Minghella,"Jamie Dornan, Sarah Gadon, Aaron Paul, Aiden Longworth, Oliver Platt, Molly Parker, Barbara Hershey, Jane McGregor, Julian Wadham, Adam Abrams, Beckham Skodje, Terry Chen, Randi Lynne, John Hainsworth, Goldie Hoffman, Nels Lennarson, Anjali Jay, Ostara Gardy, Jennifer Derwojed, Lina Roessler, Luke Camilleri, Sarah-Jane Redmond, Anthony Shudra, Alex Zahara, Fiona Vroom, Iris Paluly, David Lloydy Lloyd, David Lloydy",2016-09-02,2017-02-07,90.0,Lionsgate's Summit Premiere and Miramax,Rotten,38,66,37.0,1947.0
Addicted To Fame,"""ADDICTED TO FAME"" is the hilarious, outrageous, and ultimately tragic true story of one filmmaker's journey from obscurity to moral blindness in the seductive glare of the media spotlight. Director DAVID GIANCOLA wanted to break out by making a ""Movie that mocked B-Movies"". He thought he could manipulate the media by casting ANNA NICOLE SMITH. In the end the media manipulated him instead as his star and one of his Producers died in a media feeding frenzy. The film bombed but the story was the most reported event of 2007 - behind only coverage of the Iraq war. The truth is always stranger and more unbelievable than fiction...",,PG-13,"Comedy, Documentary, Special Interest, Television",David Giancola,David Giancola,"Anna Nicole Smith, David Giancola, Chyna, John James, Howard K. Stern, Daniel Wayne Smith, Mary Beth French, Zorinah Juan, Ben Coello",2012-11-30,2013-05-07,89.0,Abramorama Entertainment,Rotten,27,11,62.0,166.0
